Symptom,Topology Note,Show Outputs,Expected Fault,OSI Layer,Concept Tag,Severity
Inter-VLAN clients cannot reach the gateway,router-on-a-stick; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.84.112.1     YES DHCP  up                     up
GigabitEthernet0/2     10.61.47.1      YES DHCP  up                     up
Vlan112                10.84.112.1     YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.84.112.0/27 is directly connected, Vlan0
O    10.61.47.0/26 [110/20] via 10.61.47.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 212
    10 permit ip any any (hitcnt=38)
    20 deny tcp any any eq 443 (hitcnt=4)
    30 permit ip any any (hitcnt=0)",subinterface encapsulation mismatch,Layer 2,inter-vlan-routing,High
Only one VLAN can reach remote networks,router-on-a-stick; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.61.47.1      YES DHCP  up                     up
GigabitEthernet0/2     172.29.88.1     YES DHCP  up                     up
Vlan47                 10.61.47.1      YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.61.47.0/26 is directly connected, Vlan0
O    172.29.88.0/25 [110/20] via 172.29.88.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 147
    10 permit ip any any (hitcnt=2)
    20 deny tcp any any eq 443 (hitcnt=4)
    30 permit ip any any (hitcnt=0)",trunk allows an incomplete VLAN list,Layer 2,inter-vlan-routing,High
Hosts in a new VLAN receive no inter-VLAN replies,multilayer switch; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     192.168.141.1   YES DHCP  up                     up
GigabitEthernet0/2     172.29.88.1     YES DHCP  up                     up
Vlan141                192.168.141.1   YES DHCP  administratively down  down

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    192.168.141.0/26 is directly connected, Vlan0
O    172.29.88.0/25 [110/20] via 172.29.88.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 241
    10 permit ip any any (hitcnt=4)
    20 deny tcp any any eq 443 (hitcnt=3)
    30 permit ip any any (hitcnt=0)",SVI is administratively down,Layer 3,inter-vlan-routing,High
Inter-VLAN pings fail after an addressing change,multilayer switch; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.84.112.1     YES DHCP  up                     up
GigabitEthernet0/2     192.168.141.1   YES DHCP  up                     up
Vlan112                10.84.112.1     YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.84.112.0/27 is directly connected, Vlan0
O    192.168.141.0/26 [110/20] via 192.168.141.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 212
    10 permit ip any any (hitcnt=18)
    20 deny tcp any any eq 443 (hitcnt=1)
    30 permit ip any any (hitcnt=0)",SVI and host subnet masks disagree,Layer 3,inter-vlan-routing,High
One department cannot reach its server VLAN,router-on-a-stick; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.61.47.1      YES DHCP  up                     up
GigabitEthernet0/2     10.61.47.1      YES DHCP  up                     up
Vlan47                 10.61.47.1      YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.61.47.0/26 is directly connected, Vlan0
O    10.61.47.0/26 [110/20] via 10.61.47.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 147
    10 permit ip any any (hitcnt=4)
    20 deny tcp any any eq 443 (hitcnt=1)
    30 permit ip any any (hitcnt=0)",native VLAN mismatch causes tagged traffic loss,Layer 2,inter-vlan-routing,Critical
VLAN 141 users can reach local hosts but not the WAN,multilayer switch; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     172.22.31.1     YES DHCP  up                     up
GigabitEthernet0/2     10.84.112.1     YES DHCP  up                     up
Vlan31                 172.22.31.1     YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    172.22.31.0/27 is directly connected, Vlan0
O    10.84.112.0/27 [110/20] via 10.84.112.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 131
    10 permit ip any any (hitcnt=4)
    20 deny tcp any any eq 443 (hitcnt=3)
    30 permit ip any any (hitcnt=0)",ip routing is disabled on the switch,Layer 3,inter-vlan-routing,High
A routed VLAN works from the router but not from clients,router-on-a-stick; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.61.47.1      YES DHCP  up                     up
GigabitEthernet0/2     192.168.141.1   YES DHCP  up                     up
Vlan47                 10.61.47.1      YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.61.47.0/26 is directly connected, Vlan0
O    192.168.141.0/26 [110/20] via 192.168.141.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 147
    10 permit ip any any (hitcnt=29)
    20 deny tcp any any eq 443 (hitcnt=4)
    30 permit ip any any (hitcnt=0)",default gateway points at the wrong subinterface,Layer 3,inter-vlan-routing,High
New finance VLAN is isolated from every other VLAN,multilayer switch; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     192.168.141.1   YES DHCP  up                     up
GigabitEthernet0/2     10.84.112.1     YES DHCP  up                     up
Vlan141                192.168.141.1   YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    192.168.141.0/26 is directly connected, Vlan0
O    10.84.112.0/27 [110/20] via 10.84.112.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 241
    10 permit ip any any (hitcnt=28)
    20 deny tcp any any eq 443 (hitcnt=0)
    30 permit ip any any (hitcnt=0)",SVI has an overlapping network,Layer 3,inter-vlan-routing,Critical
Clients intermittently lose access between VLANs,multilayer switch; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     192.168.63.1    YES DHCP  up                     up
GigabitEthernet0/2     192.168.141.1   YES DHCP  up                     up
Vlan63                 192.168.63.1    YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    192.168.63.0/28 is directly connected, Vlan0
O    192.168.141.0/26 [110/20] via 192.168.141.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 163
    10 permit ip any any (hitcnt=29)
    20 deny tcp any any eq 443 (hitcnt=2)
    30 permit ip any any (hitcnt=0)",duplicate HSRP virtual address,Layer 3,inter-vlan-routing,High
A trunked access block cannot reach the core VLAN,router-on-a-stick; VLANs are non-default and addressing is drawn from a private lab range.,"show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/1     10.61.47.1      YES DHCP  up                     up
GigabitEthernet0/2     172.22.31.1     YES DHCP  up                     up
Vlan47                 10.61.47.1      YES DHCP  up                     up

show ip route
Codes: C - connected, S - static, O - OSPF, D - EIGRP, * - candidate default
C    10.61.47.0/26 is directly connected, Vlan0
O    172.22.31.0/27 [110/20] via 172.22.31.1, 00:04:12, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 10.19.240.1

show access-lists
Extended IP access list 147
    10 permit ip any any (hitcnt=23)
    20 deny tcp any any eq 443 (hitcnt=1)
    30 permit ip any any (hitcnt=0)",switchport is left in access mode,Layer 2,inter-vlan-routing,High
